success,status,gemarkung,flur,a_datum,a_datum_dmy,quartal,gemeinde,ogc_fid,type
true,true,Dorotheental,010083003,2023-11-06,06.11.2023,11_2023,Damp,4272,alkis
true,true,Kisdorf,019062003,2023-11-06,06.11.2023,11_2023,Kisdorf,4273,alkis
true,true,Langstedt,011172011,2023-11-06,06.11.2023,11_2023,Langstedt,4274,alkis
true,true,Böxlund,011169003,2023-11-06,06.11.2023,11_2023,Böxlund,4275,alkis
true,true,Glinde,015030012,2023-11-06,06.11.2023,11_2023,Glinde,4276,alkis
true,true,Halstenbek,016529005,2023-11-06,06.11.2023,11_2023,Halstenbek,4277,alkis
true,true,Wittenberg,016208007,2023-11-06,06.11.2023,11_2023,Martensrade,4278,alkis
true,true,Bunsoh,013018012,2023-11-06,06.11.2023,11_2023,Bunsoh,4279,alkis
true,true,Ridders,012106002,2023-11-06,06.11.2023,11_2023,Hohenlockstedt,4280,alkis
true,true,Schlichting,013358010,2023-11-06,06.11.2023,11_2023,Schlichting,4281,alkis
true,true,Rethwischfeld,015105007,2023-11-06,06.11.2023,11_2023,Bad Oldesloe,4282,alkis
true,true,Hökholz,010171001,2023-11-06,06.11.2023,11_2023,Waabs,4283,alkis
true,true,Süderhastedt,013085004,2023-11-06,06.11.2023,11_2023,Süderhastedt,4284,alkis
true,true,Haselau,016530007,2023-11-06,06.11.2023,11_2023,Haselau,4285,alkis
true,true,Mohrkirch-Osterholz,018077003,2023-11-06,06.11.2023,11_2023,Mohrkirch,4286,alkis
true,true,Tresdorf,016190002,2023-11-06,06.11.2023,11_2023,Mucheln,4287,alkis
true,true,St. Jürgen,013503010,2023-11-06,06.11.2023,11_2023,"Lübeck, Hansestadt",4288,alkis
true,true,Brunstorf,017031002,2023-11-06,06.11.2023,11_2023,Brunstorf,4289,alkis
true,true,Buchhorst,017034003,2023-11-06,06.11.2023,11_2023,Buchhorst,4290,alkis
true,true,Gudow,017090006,2023-11-06,06.11.2023,11_2023,Gudow,4291,alkis
true,true,Cismar,014028013,2023-11-06,06.11.2023,11_2023,Grömitz,4292,alkis
true,true,Ecklak,012028007,2023-11-06,06.11.2023,11_2023,Ecklak,4293,alkis
true,true,Ahrensbök-Vorwerk,010502001,2023-11-06,06.11.2023,11_2023,Ahrensbök,4294,alkis
true,true,Esingen,016522005,2023-11-06,06.11.2023,11_2023,Tornesch,4295,alkis
true,true,Kittlitz-Vorwerk,017123004,2023-11-06,06.11.2023,11_2023,Kittlitz,4296,alkis
true,true,Alterfrade,019002001,2023-11-06,06.11.2023,11_2023,Daldorf,4297,alkis
true,true,Hollenbek,017107006,2023-11-06,06.11.2023,11_2023,Hollenbek,4298,alkis
true,true,Horst,012048016,2023-11-06,06.11.2023,11_2023,Horst (Holstein),4299,alkis
true,true,Klixbüll,015533003,2023-11-06,06.11.2023,11_2023,Klixbüll,4300,alkis
true,true,Ellingstedt,018029015,2023-11-06,06.11.2023,11_2023,Ellingstedt,4301,alkis
true,true,Tasdorf -6997,014636099,2023-11-06,06.11.2023,11_2023,Tasdorf,4302,alkis
true,true,Kröppelshagen,017148003,2023-11-06,06.11.2023,11_2023,Kröppelshagen-Fahrendorf,4303,alkis
true,true,Hollingstedt,018050007,2023-11-06,06.11.2023,11_2023,Hollingstedt,4304,alkis
true,true,Hohenhain,010178003,2023-11-06,06.11.2023,11_2023,Schwedeneck,4305,alkis
true,true,Borgwedel,018014004,2023-11-06,06.11.2023,11_2023,Borgwedel,4306,alkis
true,true,Stenderup b. S.,011134003,2023-11-06,06.11.2023,11_2023,Sieverstedt,4307,alkis
true,true,Timmaspe,010425002,2023-11-06,06.11.2023,11_2023,Timmaspe,4308,alkis
true,true,Brande-Hörnerkirchen,016513003,2023-11-06,06.11.2023,11_2023,Brande-Hörnerkirchen,4309,alkis
true,true,Katharinenhof,014080003,2023-11-06,06.11.2023,11_2023,Fehmarn,4310,alkis
true,true,Tolk,018121005,2023-11-06,06.11.2023,11_2023,Tolk,4311,alkis
