success,status,gemarkung,flur,a_datum,a_datum_dmy,quartal,gemeinde,ogc_fid,type
true,true,Kirchspiel-Garding,011605009,2023-11-06,06.11.2023,11_2023,"Garding, Kirchspiel",1135,alkis
true,true,Prisdorf,016564001,2023-11-06,06.11.2023,11_2023,Prisdorf,1136,alkis
true,true,Dieksanderkoog,013107003,2023-11-06,06.11.2023,11_2023,Friedrichskoog,1137,alkis
true,true,Braak,014511005,2023-11-06,06.11.2023,11_2023,Latendorf,1138,alkis
true,true,Stellau,015125002,2023-11-06,06.11.2023,11_2023,Barsbüttel,1139,alkis
true,true,Tarbek,019116001,2023-11-06,06.11.2023,11_2023,Tarbek,1140,alkis
true,true,Handewitt,011047001,2023-11-06,06.11.2023,11_2023,Handewitt,1141,alkis
true,true,Bark,019006006,2023-11-06,06.11.2023,11_2023,Bark,1142,alkis
true,true,Dätgen,014517005,2023-11-06,06.11.2023,11_2023,Dätgen,1143,alkis
true,true,Eggebek,011017012,2023-11-06,06.11.2023,11_2023,Eggebek,1144,alkis
true,true,Witzeeze,017281011,2023-11-06,06.11.2023,11_2023,Witzeeze,1145,alkis
true,true,Neuenbrook,012083005,2023-11-06,06.11.2023,11_2023,Neuenbrook,1146,alkis
true,true,Lütjenwestedt,010258024,2023-11-06,06.11.2023,11_2023,Lütjenwestedt,1147,alkis
true,true,Wittenborn,019134001,2023-11-06,06.11.2023,11_2023,Wittenborn,1148,alkis
true,true,Glashütte,019031005,2023-11-06,06.11.2023,11_2023,"Buchholz, Forstgutsbezirk",1149,alkis
true,true,Heiligenhafen,014067013,2023-11-06,06.11.2023,11_2023,Heiligenhafen,1150,alkis
true,true,Kaiserin-Auguste-Viktoria-Koog,013104005,2023-11-06,06.11.2023,11_2023,Friedrichskoog,1151,alkis
true,true,Haselund,011525004,2023-11-06,06.11.2023,11_2023,Haselund,1152,alkis
true,true,Pellworm,011567012,2023-11-06,06.11.2023,11_2023,Pellworm,1153,alkis
true,true,Bad Bramstedt,019015009,2023-11-06,06.11.2023,11_2023,Bad Bramstedt,1154,alkis
true,true,Gettorf,010116007,2023-11-06,06.11.2023,11_2023,Gettorf,1155,alkis
true,true,Fedderingen,013314008,2023-11-06,06.11.2023,11_2023,Fedderingen,1156,alkis
true,true,Barlt,013008012,2023-11-06,06.11.2023,11_2023,Barlt,1157,alkis
true,true,Brekendorf,010061018,2023-11-06,06.11.2023,11_2023,Brekendorf,1158,alkis
true,true,Stadum,015556004,2023-11-06,06.11.2023,11_2023,Stadum,1159,alkis
true,true,Rothensande,010584004,2023-11-06,06.11.2023,11_2023,Malente,1160,alkis
